Loo,K,to,Locality
60.5,0.45,-0.26,"Cedar Bluff Reservoir, Kansas"
62,0.46,-0.25,Marion Reservoir
62.2,0.37,-0.55,Lovewell Reservoir
64.2,0.39,-0.29,Lovewell Reservoir
64.6,0.41,-0.29,Kirwin Reservoir
64.9,0.44,-0.13,Glen Elder Reservoir
65.1,0.45,-0.14,Wilson Reservoir
65.4,0.35,-0.58,Lovewell Reservoir
65.5,0.47,0.06,"Cedar Bluff Reservoir, Kansas"
66.1,0.38,-0.34,Glen Elder Reservoir
68,0.29,-0.66,Cheney Reservoir
68.6,0.37,-0.2,Glen Elder Reservoir
69,0.43,-0.19,Webster Reservoir
69.9,0.29,-0.48,Glen Elder Reservoir
72.1,0.29,-0.48,Glen Elder Reservoir
72.2,0.3,-0.71,Webster Reservoir
73.5,0.33,-0.26,Cedar Bluff Reservoir
74.8,0.26,-0.69,Marion Reservoir
75,0.25,-0.63,Cheney Reservoir
75.4,0.23,-0.98,Lovewell Reservoir
80,0.21,-0.94,Marion Reservoir
80,0.22,-0.97,Lovewell Reservoir
80,0.29,-0.52,Kirwin Reservoir
82.8,0.24,-0.63,Glen Elder Reservoir
86.2,0.2,-0.56,"Cedar Bluff Reservoir, Kansas"
104,0.16,-0.62,Glen Elder Reservoir
